full_name,party,offical_post,constituency,twitter_handle,uri,last_updated
"Rt Hon Kenneth Clarke QC MP","Conservative","Minister without Portfolio ","Rushcliffe","TWITTER_UNKNOWN","URI_UNKNOWN",2014-04-15T16:08:51+01:00
"Rt Hon Tom Clarke MP","Labour","","Coatbridge, Chryston and Bellshill","TWITTER_UNKNOWN","http://dbpedia.org/resource/Tom_Clarke_(politician)",2014-04-15T16:08:51+01:00
"Rt Hon Nick Clegg MP","Liberal Democrat","Lord President of the Council (Privy Council Office)","Sheffield, Hallam","https://twitter.com/nick_clegg","http://dbpedia.org/resource/Nick_Clegg",2014-04-15T16:08:51+01:00
"Geoffrey Clifton-Brown MP","Conservative","","The Cotswolds","TWITTER_UNKNOWN","http://dbpedia.org/resource/Geoffrey_Clifton-Brown_(born_1953)",2014-04-15T16:08:52+01:00
"Rt Hon Ann Clwyd MP","Labour","","Cynon Valley","https://twitter.com/AnnClwyd","http://dbpedia.org/resource/Ann_Clwyd",2014-04-15T16:08:52+01:00
"Vernon Coaker MP","Labour","Shadow Secretary of State for Defence","Gedling","https://twitter.com/Vernon_CoakerMP","http://dbpedia.org/resource/Vernon_Coaker",2014-04-15T16:08:52+01:00
"Ann Coffey MP","Labour","","Stockport","https://twitter.com/anncoffey_mp","http://dbpedia.org/resource/Ann_Coffey",2014-04-15T16:08:52+01:00
"Dr Thérèse Coffey MP","Conservative","","Suffolk Coastal","https://twitter.com/theresecoffey","URI_UNKNOWN",2014-04-15T16:08:53+01:00
"Damian Collins MP","Conservative","","Folkestone and Hythe","https://twitter.com/DamianCollins","http://dbpedia.org/resource/Damian_Collins",2014-04-15T16:08:53+01:00
"Oliver Colvile MP","Conservative","","Plymouth, Sutton and Devonport","https://twitter.com/olivercolvile","http://dbpedia.org/resource/Oliver_Colvile",2014-04-15T16:08:53+01:00
"Michael Connarty MP","Labour","","Linlithgow and East Falkirk","TWITTER_UNKNOWN","http://dbpedia.org/resource/Michael_Connarty",2014-04-15T16:08:54+01:00
"Rosie Cooper MP","Labour","","West Lancashire","https://twitter.com/rosie4westlancs","http://dbpedia.org/resource/Rosie_Cooper",2014-04-15T16:08:54+01:00
"Rt Hon Yvette Cooper MP","Labour","Shadow Home Secretary","Normanton, Pontefract and Castleford","https://twitter.com/YvetteCooperMP","http://dbpedia.org/resource/Yvette_Cooper",2014-04-15T16:08:54+01:00
"Jeremy Corbyn MP","Labour","","Islington North","https://twitter.com/jeremycorbyn","http://dbpedia.org/resource/Jeremy_Corbyn",2014-04-15T16:08:54+01:00
"Mr Geoffrey Cox QC MP","Conservative","","Torridge and West Devon","https://twitter.com/Geoffrey_Cox","URI_UNKNOWN",2014-04-15T16:08:55+01:00
"Stephen Crabb MP","Conservative","The Parliamentary Under-Secretary of State for Wales","Preseli Pembrokeshire","https://twitter.com/SCrabbMP","http://dbpedia.org/resource/Stephen_Crabb",2014-04-15T16:08:55+01:00
"Mr David Crausby MP","Labour","","Bolton North East","TWITTER_UNKNOWN","http://dbpedia.org/resource/David_Crausby",2014-04-15T16:08:55+01:00
"Mary Creagh MP","Labour","Shadow Secretary of State for Transport","Wakefield","https://twitter.com/marycreagh_mp","http://dbpedia.org/resource/Mary_Creagh",2014-04-15T16:08:55+01:00
"Stella Creasy MP","Labour (Co-op)","Shadow Minister (Business, Innovation and Skills)","Walthamstow","https://twitter.com/stellacreasy","http://dbpedia.org/resource/Stella_Creasy",2014-04-15T16:08:55+01:00
